NAME,BRAND,QUANTITY,PRICE,PPU,OLDPRICE,OLDPPU,EAN
CEM PORCENTO Salsichas de Soja 390 g,,,"4,69 €","12,03 €/Kg",,,
CEM PORCENTO Chá Emagrecimento 13 g,,,"0,99 €","76,15 €/Kg",,,
CEM PORCENTO Chá Prisão Ventre 13 g,,,"0,99 €","76,15 €/Kg",,,
SALUTEM Flocos de Cevada Integrais Tostados 250 g,,,"1,79 €","7,16 €/Kg",,,
SALUTEM Muesli Integral com Frutos Tropicais 375 g,,,"2,69 €","7,17 €/Kg",,,
BICENTURY Tortitas de Arroz com Choco Negro 130 g,,,"2,49 €","19,15 €/Kg",,,
ROYAL Gelatina de Morango Light 10 Kcal 4x100 g,,,"2,19 €","5,48 €/Kg",,,
CEM PORCENTO Proteína Vegetal Seitan 300 g,,,"2,79 €","9,30 €/Kg",,,
DIA VITAL Mini Tortitas de Milho E Arroz Sabor a Queijo 75 g,,,"1,29 €","17,20 €/Kg",,,
DIA NATULEV Pevides de Abóbora 150 g,,,"1,98 €","13,20 €/Kg",,,
CEM PORCENTO Sementes de Chia 150 g,,,"2,29 €","15,27 €/Kg",,,
NESTUM 5 Cereais com Cereais Integrais Nestlé 250 g,,,"2,49 €","9,96 €/Kg",,,
CEM PORCENTO Bolachas Marinheiras Sem Sal 200 g,,,"2,89 €","14,45 €/Kg",,,
ROYAL Gelatina de Ananás Light 10 Kcal 4x100 g,,,"2,19 €","5,48 €/Kg",,,
MILANEZA Esparguete sem Glúten 500 g,,,"2,69 €","5,38 €/Kg",,,
MILANEZA Macarrão Integral com aveia 500 g,,,"1,89 €","3,78 €/Kg",,,
SONATURAL Sumo de Manga 750 ml,,,"3,99 €","5,32 €/l",,,
DIA SONHOS Gelatina de Morango Light 8Kcal 6x100 g,,,"1,49 €","2,48 €/Kg",,,
SONATURAL Sumo de Frutos Vermelhos 750 ml,,,"3,99 €","5,32 €/l",,,
CEM PORCENTO Biscoitos Integrais de Alfarroba  250 g,,,"2,69 €","10,76 €/Kg",,,
CEM PORCENTO Bolachas Marinheiras Naturais 200 g,,,"2,89 €","14,45 €/Kg",,,
CEM PORCENTO Hambúrguer de Tofu E Algas 150 g,,,"3,49 €","23,27 €/Kg",,,
SONATURAL Sumo de Limão E Menta  750 ml,,,"3,99 €","5,32 €/l",,,
SONATURAL Sumo de Natural Limão E Hortelã 250 ml,,,"1,79 €","7,16 €/l",,,
SHOYCE Bebida de Arroz 0% 1 L,,,"1,43 €","1,43 €/l","1,79 €","1,79 €/l",
YOGGI Iogurte Sem Lactose Morango 4x160 g,,,"3,22 €","5,03 €/Kg",,,
VIGOR Leite Pasteurizado Meio Gordo 0% de Lactose 1 L,,,"1,18 €","1,18 €/l",,,
CEM PORCENTO Chocolate Negro com Stevia 100 g,,,"2,49 €","24,90 €/Kg",,,
HERO Farinha Não Láctea Bio Multicereais 300 g,,,"2,99 €","9,97 €/Kg",,,
"HERO Saqueta Bio Maçã, Banana e Cenoura 100 g",,,"1,29 €","12,90 €/Kg",,,
"HERO Saqueta Bio Banana, Laranja e Pêra 100 g",,,"1,29 €","12,90 €/Kg",,,
NATURE VALLEY Barrita Aveia & Mel 210 g,,,"2,99 €","14,24 €/Kg",,,
IGLO Veggie Bowls De Quinoa E Abóbora 350 g,,,"2,99 €","8,54 €/Kg",,,
SHOYCE Bebida de Arroz 0% 200 ml,,,"0,48 €","2,40 €/l","0,60 €","3,00 €/l",
DIA VITAL Quinoa 500 g,,,"2,87 €","5,74 €/Kg",,,
DIA VITAL Bebida de Arroz 1 L,,,"1,53 €","1,53 €/l",,,
IGLO Veggie Bowls Trigo Sarraceno 350 g,,,"2,99 €","8,54 €/Kg",,,
VITACRESS Espinafre Biológico Embalado 150 g,,,"2,29 €","15,27 €/Kg",,,
SALUTEM Multicereais Crocantes 500 g,,,"3,29 €","6,58 €/Kg",,,
NACIONAL Farinha de Espelta Integral 500 g,,,"1,99 €","3,98 €/Kg",,,
MILANEZA Esparguete Integral com aveia 500 g,,,"1,89 €","3,78 €/Kg",,,
FRUTOS SECOS DO DIA Caju Cru Natural 150 g,,,"3,35 €","22,33 €/Kg",,,
"DIA LÁCTEA Queijo Fresco sem Lactose 4x62,5 g",,,"2,09 €","8,36 €/Kg",,,
ORIGENS BIO Óleo de Coco Extra Virgem Biológico 200 ml,,,"4,69 €","23,45 €/l",,,
SONATURAL Sumo de Frutos Vermelhos 250 ml,,,"1,79 €","7,16 €/l",,,
SONATURAL Sumo de Manga 250 ml,,,"1,79 €","7,16 €/l",,,
SONATURAL Sumo de Beterraba 250 ml,,,"1,79 €","7,16 €/l",,,
SONATURAL Sumo de Cenoura 250 ml,,,"1,79 €","7,16 €/l",,,
NESTUM Cereais Integrais Nestlé 250 g,,,"2,49 €","9,96 €/Kg",,,
CERELAC Papa Infantil  Láctea 40% Menos Açúcares 900 g,,,"4,99 €","5,54 €/Kg",,,
MILHAFRE Leite de Pastagem Meio Gordo Bio 1 L,,,"1,29 €","1,29 €/l",,,
