Nome,Marca,Unidade,Preço Primário,Preço Secundário
Lula recheada com carne,PorSi,Embalagem de 500 g,"8,99 €","17,98 €/Kg"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Whiskey bourbon,J.daniels,Garrafa de 700 ml,"32,99 €","47,13 €/L"
Caramelos de fruta,Penha,Embalagem de 250 g,"2,75 €","11,00 €/Kg"
Detergente Multiusos Spray,Ajax,Garrafa de 500 ml,"3,99 €","7,98 €/L"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Vinagre de fruta,PorSi,Embalagem de 500 ml,"2,89 €","11,56 €/L"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
"Atacador redondo, castanho, 60cm 3916",Sonaf,1 unidade,"5,29 €","35,27 €/L"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
Tablete de chocolate choco jelly,Milka,Embalagem de 250g,"2,29 €","17,62 €/Kg"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
"Luvas multiusos relevo antiderrapante, tamanho grand...",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Conjunto de medição,Maped,4 peças,"3,29 €","3,29 €/Unidade"
Gelatina zero % morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
Caixa Cubo Pearls,Jacquot,Embalagem de 200g,"7,29 €","29,16 €/Kg"
Miolo de camarão cozido 40/60,Pescanova,Embalagem de 200 g,"8,99 €","25,69 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Palitos superfinos,PorSi,Embalagem de 400 unidades,"1,50 €","1,50 €/Unidade"
"Forma papel para bolos, 10. 5cm",PorSi,Embalagem com 60 unidades,"0,54 €","0,54 €/Unidade"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Remove Insectos,PorSi,Embalagem de 1 l,"3,49 €","13,96 €/L"
Milho partido,Rac.zezere,Embalagem de 5 kg,"2,49 €","2,49 €/Kg"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Gomas de ursos com brilho,Fini,Embalagem de 100g,"1,19 €","3,97 €/Kg"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Framboesa,PorSi,Embalagem com 125g,"2,19 €","17,52 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Crepe simples,PorSi,Embalagem de 630g,"3,99 €","7,39 €/Kg"
Máquina de barbear mach 3 turbo,Gillette,1 unidade,"1,16 €","4,64 €/L"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Vinagre de vinho tinto,Cristal,Garrafa de 500 ml,"2,89 €","11,56 €/L"
Pensos Higiénicos Ultra Air Dry C/ Abas,Ausonia,embalagem com 14 un.,"4,99 €","4,99 €/Unidade"
Bombons Caja Roja,Nestlé,Embalagem 400 g,"7,29 €","29,16 €/Kg"
Redutor de gordura (cápsulas),Forma+,Embalagem de 43g,"6,89 €","45,93 €/Kg"
Broa de Milho,Pão do Dia,1 unidade= 400 g,"0,19 €","2,38 €/Kg"
Óleo Performa C3 5W40 Sintético,Galp,Embalagem de 1 l,"14,99 €","14,99 €/L"
Ginkgo biloba,Forma+,Embalagem de 56g,"6,89 €","45,93 €/Kg"
Vinho regional lisboa reserva tinto,Mundus,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Queijo são jorge dop,PorSi Select,Embalagem de 400g,"3,80 €","15,19 €/Kg"
Papa infantil láctea maçã +6 meses,Cerelac,Embalagem de 250g,"4,99 €","4,99 €/Kg"
Batata doce frita,PorSi,Embalagem de 150g,"1,01 €","5,46 €/Kg"
Doce light alperce,PorSi,Embalagem de 340g,"3,59 €","10,26 €/Kg"
Polpa tomate biológico,Guloso,Embalagem de 500g,"3,65 €","7,30 €/Kg"
"Cueca de incontinência, adulto, pequena",PorSi,Embalagem com 14 unidades,"18,65 €","18,65 €/Unidade"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Gel de banho suave,Johnson's Baby,Embalagem de 500 ml,"1,99 €","1,99 €/Unidade"
Café moagem normal: original,Buondi,Embalagem de 220g,"11,16 €/Kg","11,16 €/Kg"
Atum posta em óleo,General,Embalagem de 110g,"0,89 €","7,42 €/Kg"
"Vinho tinto regional, península de setúbal, bag-in-b...",Dom Campos,Garrafa de 5 l,"9,49 €","1,90 €/L"
Fraldas premium T4 - 9 a 15 kg,PorSi,50 unidades,"6,49 €","6,49 €/Unidade"
Mistura solúvel brasa,Nestle,Embalagem de 200g,"1,64 €","6,56 €/Kg"
Anti-Traça Alimentos,Dum Dum,2 unidades,"4,69 €","4,69 €/Unidade"
Mopa com cabo,PorSi,1 unidade,"0,89 €","0,89 €/Unidade"
"Gel cabelo, styling signature",Axe,Embalagem de 125 ml,"5,99 €","14,98 €/L"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Creme Corpo Goodness,Dove,Embalagem de 300 ml,"11,23 €/L","11,23 €/L"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Panquecas de aveia c/ proteína pepitas chocolate,Prozis,Embalagem de 400g,"11,99 €","29,98 €/Kg"
Creme vegetal culinário,Vaqueiro,Embalagem de 250 g,"1,59 €","6,36 €/Kg"
Pensos peles sensíveis XL,PorSi,5 unidades,"1,69 €","1,69 €/Unidade"
Ice tea de pêssego,PorSi,Garrafa de 2 l,"1,14 €","0,76 €/L"
Óleo de salmão,Forma+,Embalagem de 71g,"6,89 €","45,93 €/Kg"
Perfume Paw Patrol,Air Val,30 ml,"4,09 €","136,33 €/L"
Rolls 6 unidades,Bimbo,Embalagem de 340g,"1,39 €","1,39 €/Kg"
Boudoirs,Du Bois de la Roche,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
"Óleo de girassol, 3 a's",Fula,Embalagem 1L,"3,39 €","3,39 €/L"
Preparado de bolo de iogurte,PorSi,500 g,"2,99 €","6,64 €/Kg"
Bolacha dibus sharkies s/ glúten,Gullon,Embalagem de 250g,"1,89 €","15,75 €/Kg"
"Iogurte, sabor a morango",PorSi,Embalagem de 4 x 125 g,"1,87 €","1,25 €/Kg"
"Lava e encera, aromas de alfazema",Novycera,Embalagem de 500 ml,"2,49 €","2,49 €/L"
Cogumelos inteiros,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
Chouriço Extra do Ribatejo,PorSi,200 g,"1,22 €","6,78 €/Kg"
Azeite Subtil,Gallo,Garrafa de 750 ml,"3,29 €","4,39 €/L"
Chourico vinho das beiras,PorSi,Embalagem de 280g,"1,22 €","6,78 €/Kg"
Desentupidor canos,Mr.muscle,Embalagem de 1 l,"4,44 €","5,92 €/L"
Cornflakes + gulosos,Cemporcent,Embalagem de 250g,"0,69 €","1,73 €/Kg"
Spray recarga limpeza da cozinha,Cif,embalagem de 70 ml,"0,79 €","0,79 €/L"
Bolachas,Oreo,Embalagem de 220g,"1,49 €","9,68 €/Kg"
Bife da Pá,Novilho,Vendido ao peso a partir de 800 g,"1,30 €","6,49 €/Kg"
Sabão super,Clarim,Embalagem de 400g,"2,38 €","4,67 €/Kg"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
Aditivo em pó máquina pink,Vanish,Embalagem de 1.2 kg,"7,99 €","19,02 €/Kg"
Palmilha cortiça com latex t 38/39,Sonaf,1 unidade,"5,59 €","37,27 €/L"
Autobrilhante Preto,Búfalo,Embalagem de 50 ml,"0,99 €","330,00 €/Kg"
Iogurte natural 0%,PorSi Viva Bem,Embalagem de 6 x 125 g,"0,99 €","1,98 €/Kg"
Bolacha de água e sal júnior,Vieira,Embalagem de 160g,"1,49 €","2,48 €/Kg"
Bolachas belgas manteiga,PorSi,Embalagem de 250g,"1,69 €","6,76 €/Kg"
"Bolacha belvita soft brakes, frutos vermelhos",Belvita,Embalagem de 250g,"1,49 €","2,48 €/Kg"
Leite condensado,Nestle,Embalagem de 370g,"1,09 €","2,75 €/Kg"
"Mistura de couve flor, brócolos e cenoura",PorSi,Embalagem de 1 kg,"1,98 €","1,98 €/Kg"
Fermento padeiro 44g condi,Condi,Embalagem de 40g,"1,89 €","17,18 €/Kg"
Detergente para loiça plus + limão,Super Pop,Embalagem de 1L,"1,05 €","2,10 €/L"
Lata de Brilho Preto,Búfalo,Embalagem de 75 ml,"0,99 €","19,80 €/L"
"Água com gás, sabor limão",PorSi,"Embalagem de 6x0,25 l","2,85 €","2,85 €/L"
"Queijo curado, amanteigado",Paiva,Embalagem de 550g,"3,35 €","13,39 €/Kg"
Spray optimal 7 com lixivia,Ajax,Embalagem de 500 ml,"3,99 €","7,98 €/L"
Patê figado de porco,La piara,Embalagem de 80g,"1,19 €","13,52 €/Kg"
"Lava tudo, vinagre",Cif,"Garrafa de 1,4 l","0,99 €","0,50 €/L"
Porto ruby,Valadao,Garrafa de 750 ml,"5,99 €","7,99 €/L"
Adoçante comprimidos,PorSi,Embalagem de 250 saquetas,"5,99 €","23,96 €/Kg"
Creme Depilatório Peles Sensíveis,Veet,Embalagem de 200 ml,"3,29 €","3,29 €/Unidade"
Água mineral sem gás,Vimeiro,Pack 4 x 1.5 l,"1,04 €","0,17 €/L"
Mistura para coelhos,Rac.zezere,Embalagem de 5 kg,"2,49 €","3,11 €/Kg"
Biscoitos integrais aveia e manteiga de amendoim,PorSi Viva Bem,Embalagem de 150g,"1,20 €","3,90 €/Kg"
"Toalhitas limpa móveis, 25 unidades",Pronto,1 embalagem,"1,79 €","1,79 €/Unidade"
Gelatina de morango,Koala,Embalagem de 130g,"0,85 €","2,13 €/Kg"
"Sais de fruto em frasco, laranja",Eno,Embalagem de 150g,"6,89 €","45,93 €/Kg"
Pilha alcalina classic lr20x2,Domédia,1 unidade,"1,49 €","1,49 €/Unidade"
Bol. chip choco s/gluten 130g,Gullon,Embalagem de 130g,"2,69 €","20,69 €/Kg"
"Patê de sardinha,atum e salmão",PorSi,Embalagem de 4 x 22 g,"1,19 €","13,52 €/Kg"
Crack.c/sal na superficie 560g,GRAN PAVES,Embalagem de 560g,"0,39 €","3,12 €/Kg"
Chocolate em pó 70% cacau,STARBUCKS,Embalagem de 300g,"5,39 €","7,19 €/Kg"
Café solúvel c/ cafeína,Delta,Embalagem de 100g,"14,50 €/Kg","14,50 €/Kg"
Brandy,Croft,Garrafa de 1 l,"15,49 €","15,49 €/L"
Alface Roxa,Legumes do Dia,1 un= 400 g (aprox.),"1,00 €","2,49 €/Kg"
Polvilho azedo,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Chispalhada com feijão,Nobre,Embalagem de 420g,"2,35 €","5,60 €/Kg"
Infusão nº 6 sem barriga,Cemporcent,Embalagem de 10 unidades,"0,99 €","76,15 €/Kg"
Senses Watermelon,Trident,1 un.,"0,89 €","59,33 €/Kg"
Refrigerante sem gás de ananás,Joi,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Lenços de bolso kids,Renova,Embalagem sortida com 8 unidades + 2 grátis,"0,89 €","0,89 €/Unidade"
Pão ralado clássico,PorSi,Embalagem de 240 g,"0,72 €","3,00 €/Kg"
Lixívia para roupa delicada,Neoblanc,Embalagem de 1 l,"4,49 €","1,12 €/L"
Hambúrgueres de peru,PorSi,Embalagem de 4x80g,"2,34 €","7,31 €/Kg"
Bolachas brownie tubo,Oreo,Embalagem de 150g,"1,49 €","9,68 €/Kg"
Limpa injetores gasolina,PorSi,Embalagem de 250 ml,"14,99 €","14,99 €/L"
Leite creme,El mandari,Embalagem de 90g,"0,79 €","5,27 €/Kg"
Licor de plantas aromáticas,On Off,"Garrafa de 0,70 l","7,49 €","10,70 €/L"
Pastilhas 60 minutos Spearmint Botlle,Trident,Embalagem com 80g,"0,89 €","59,33 €/Kg"
Refrigerante c/ gás zero s/ cafeína,Coca-Cola,pack 6 x 0.33 l,"0,40 €/L","0,40 €/L"
Pudim de caramelo,Boca Doce,Embalagem de 20g,"0,59 €","29,50 €/Kg"
12 Caldos de carne,PorSi,Embalagem de 127 g,"3,84 €","24,00 €/Kg"
Adoçante liquido,PorSi,Garrafa de 125 ml,"5,99 €","23,96 €/Kg"
Alho concentrado,Forma+,Embalagem de 70g,"6,89 €","45,93 €/Kg"
Abóbora Menina Programa Origens,PorSi,1 un= 1 kg (aprox.),"0,79 €/Kg","0,79 €/Kg"
Gel Creme Make Waves,Tresemmé,Embalagem de 125 ml,"4,19 €","16,76 €/L"
Cogumelos laminados 1/2,PorSi,Embalagem de 355 g,"2,19 €","2,81 €/Kg"
Iogurte mix-in smarties morango,Nestle,Embalagem de 2 x 128 g,"1,05 €","1,86 €/L"
Ketchup,PorSi,Embalagem de 300 g,"0,87 €","2,90 €/Kg"
Bolacha cookie sensations choco,Milka,Embalagem de 160g,"0,79 €","5,27 €/Kg"
Queijo snack gouda,PorSi,Embalagem de 100g,"1,96 €","9,80 €/Kg"
"Borracha Technic, 600",Maped,embalagem com 2 unidades,"3,19 €","3,19 €/Unidade"
Ração para gato adulto de interior,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Purificador de água,Tetra,Embalagem de 1 l,"7,29 €","7,29 €/L"
Gogo SqueeZ Snack Pêssego,Gogo,Embalagem de 90g,"2,29 €","6,94 €/L"
Porto ruby,Ferreira,Garrafa de 750 ml,"5,99 €","7,99 €/L"
Preparado para arroz de marisco,Brasmar,Embalagem de 450 g,"1,99 €","4,98 €/Kg"
Bolacha de manteiga belga original,Saborosa,Embalagem de 220g,"1,69 €","6,76 €/Kg"
20 saquetas chá de baunilha c/ caramelo,Lipton,Embalagem de 40g,"58,44 €/Kg","58,44 €/Kg"
"Luvas multiusos relevo antiderrapante, tamanho médio",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Desodorizante roll-on Invisible,Rexona,Embalagem de 50ml,"1,39 €","6,95 €/L"
