Nome,Marca,Unidade,Preço Primário,Preço Secundário
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Dourada Pequena,Peixe do Dia,"Vendido ao peso, de 200 a 600 g","6,49 €/Kg","6,49 €/Kg"
Guardanapos 2 folhas vermelhos e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Borracha para lápis e tinta,Domédia,1 unidade,"3,19 €","3,19 €/Unidade"
Castanha do brasil bio,PorSi Bio,Embalagem de 150g,"1,89 €","10,50 €/Kg"
Tisana de chá verde/limão light,Pleno,"Garrafa de 1,5 l","1,14 €","0,76 €/L"
Detergente Líquido p/ Loiça Original,Fairy,"Embalagem de 1,19 l","1,05 €","2,10 €/L"
Pão Regional Rio Maior Inteiro,Pão do Dia,1 unidade= 900 g,"0,19 €","2,38 €/Kg"
Lambrusco rose,*,Garrafa de 750 ml,"2,19 €","2,92 €/L"
Vassoura cruzeta,PorSi,1 unidade,"2,20 €","2,20 €/Unidade"
Mistura com 20% café torrada moída,PorSi,Embalagem de 250g,"1,64 €","6,56 €/Kg"
Papel higiénico compacto,PorSi,24 rolos,"1,99 €","1,99 €/Unidade"
Iogurte infantil c/ drageias coloridas,PorSi,140 g,"1,05 €","1,86 €/L"
Tablete de chocolate negro,PorSi Select,200 g,"0,65 €","6,50 €/Kg"
Feijão manteiga,PorSi,Embalagem de 420g,"2,19 €","2,81 €/Kg"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
"Rolos de cozinha compactos, branco, 2 unidades",PorSi,Uma embalagem,"1,09 €","1,09 €/Unidade"
Farinha rainha c/ fermento,Nacional,Embalagem de 1000 g,"0,85 €","0,85 €/Kg"
Dentes de alho Categoria: II,PorSi,Embalagem de 150 g,"1,29 €","5,16 €/Kg"
"Limpa móveis pistola, aloé vera",Pronto,Embalagem de 500 ml,"1,29 €","0,86 €/L"
"Luvas multiusos relevo antiderrapante, tamanho grand...",PorSi,Embalagem de 1 unidades,"0,69 €","0,69 €/Unidade"
Café solúvel,Delta,Embalagem de 200 g,"25,90 €/Kg","25,90 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Bebida energética green,Monster,Garrafa de 500 ml,"1,60 €","3,20 €/L"
"Iogurte pedaços, frutimax muesli",PorSi,Embalagem de 4 x 125 g,"4,38 €","2,19 €/Kg"
Cebolinho,PorSi,Embalagem de 50g,"0,99 €","19,80 €/Kg"
Anti calcário máquina roupa 2 em 1,PorSi,17 pastilhas,"9,32 €","9,32 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Doce light framboesa,PorSi,Embalagem de 340g,"1,65 €","4,85 €/Kg"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Bolachas digestive aveia e laranja,Gullon,Embalagem de 430g,"0,84 €","2,80 €/Kg"
Manteiga magra baixo teor sal,President,Embalagem de 250g,"1,89 €","7,56 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
