Nome,Marca,Unidade,Preço Primário,Preço Secundário
Yofu com pedaços de morango,Alpro,Embalagem de 4x125 g,"2,59 €","6,48 €/Kg"
Dentifríco Flúor Gel,Colgate,Embalagem de 75 ml,"2,39 €","31,87 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Bebida Energética Apple,Hell,250 ml,"1,60 €","3,20 €/L"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Spray optimal 7 cozinha,Ajax,500 ml,"1,29 €","1,72 €/L"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Queijo cura especial barrado pimentão,Casteloes,500 g,"7,89 €","13,72 €/Kg"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Livro Hensel e Gretel,Europrice,1 unidade,"7,50 €/Unidade","7,50 €/Unidade"
Polvilho doce,PorSi,Embalagem de 500g,"2,29 €","4,58 €/Kg"
Police trooper,Rescue Hybrids,1 unidade,"49,99 €","49,99 €/Unidade"
Iogurte magro morango,Longa vida,Embalagem de 6 x 120 g,"1,44 €","2,88 €/Kg"
Toalha de Mesa Anti Nódoas,VZT,Dim.: 150 x 150 cm,"13,99 €","13,99 €/Unidade"
Pista carros com luz,Fantástiko,Dim.: 43 x 30 cm,"49,99 €","49,99 €/Unidade"
Clara de ovo liquida pasteurizada,Dovo,1 kg,"2,49 €","2,49 €/Kg"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Bolo Rei Alagado Frutos Secos,Pastelaria do Dia,700g,"2,99 €","4,60 €/Kg"
"Queijo light, 8 porções",A Vaca Que Ri,Embalagem de 140 g,"2,39 €","19,92 €/Kg"
Muesli Frutas,PorSi,500 g,"2,45 €","4,90 €/Kg"
Iogurte Natural Oikos,Danone,Embalagem de 900g,"0,65 €","1,30 €/Kg"
Salsichas cocktail,PorSi,Lata com 180 g,"0,75 €","3,75 €/Kg"
Barras fitness natural 141g,Nestle,Embalagem de 140g,"3,29 €","21,93 €/Kg"
