Nome,Marca,Unidade,Preço Primário,Preço Secundário
Super tea detox com selénio,Tetley,Embalagem de 40g,"1,19 €","59,50 €/Kg"
"Lixívia, perfume fresco",Neoblanc,Embalagem de 4 l,"2,19 €","1,10 €/L"
Miolo de camarão 80/100,Pescanova,Embalagem de 350g,"8,99 €","25,69 €/Kg"
"Maionese, frasco",Hellmman's,Embalagem de 210g,"0,70 €","2,33 €/Kg"
Saqueta de puré de fruta | maçã + banana + morango,PorSi,90 g,"0,74 €","8,22 €/Kg"
Ambientador arbremagique pinho,Arbre Magique,1 unidade,"1,99 €","1,99 €/Unidade"
Spray tira gorduras,Cillitbang,Garrafa de 500 ml,"1,19 €","0,79 €/L"
Maxi folhado queijo/fiambre,Pastelaria do Dia,1 unidade = 125 g,"0,65 €","0,65 €/Unidade"
Azeite,PorSi,Garrafa de 1 l,"3,19 €","4,25 €/L"
Porto white,Ferreira,Garrafa de 750 ml,"11,99 €","15,99 €/L"
Vinho regional península de setúbal tinto,J.m.f.,Garrafa de 750 ml,"8,59 €","11,45 €/L"
Biscoitos integrais sementes de agave,PorSi Viva Bem,Embalagem de 150g,"1,45 €","11,15 €/Kg"
Surprise remix pets,LOL,1 unidade,"14,99 €/Unidade","14,99 €/Unidade"
"Borracha mini softy, pack de 3 unidades",Maped,1 embalagem,"3,29 €","3,29 €/Unidade"
Areia para Gato Absorvente 100% Natural,Friskies,Embalagem de 5 l,"1,19 €","0,24 €/Kg"
Bebida energética ultra white,Monster,Garrafa de 500 ml,"5,39 €","5,39 €/L"
Sabonete sensitive,Palmolive,Embalagem de 4x90 g,"4,49 €","12,47 €/Kg"
Água Tónica Zero,Schweppes,Garrafa de 1 l,"5,39 €","5,39 €/L"
Gel desinfetante casa de banho,Sonasol,Embalagem de 1.25 litros,"2,79 €","3,99 €/L"
Ração para gato esterilizado com peru,Friskies,Embalagem de 3 kg,"12,99 €","4,33 €/Kg"
Vinho tinto regional alentejano,Tapada do Barão,Garrafa de 0.75 l,"2,89 €","3,85 €/L"
Gressinos com azeitonas pretas,PorSi,Embalagem de 250g,"0,69 €","3,07 €/Kg"
Pêssego Vermelho A,Programa Origens,1 un = 150 gr (aprox.),"2,47 €","16,49 €/Kg"
Vinho doc douro tinto,Papa Figos,Garrafa de 0.75 l,"7,49 €","9,99 €/L"
"Vinho rosé, meio seco",Leziria,Garrafa de 750 ml,"4,29 €","5,72 €/L"
Água c/ gás groselha,Frize,pack 4 x 0.25 l,"2,85 €","2,85 €/L"
Pacote maçã e pêssego,Nestle,Embalagem de 90 g,"0,74 €","8,22 €/Kg"
Queijo tres igrejas cura 2 meses,Santiago,Vendido ao peso a partir de 250 gr,"3,35 €","13,39 €/Kg"
Limpa vidros recarga tripla ação,Ajax,Embalagem de 500 ml,"3,19 €","6,38 €/L"
Sumo essencial de pêssego,Compal,pack 3 x 0.11 l,"0,99 €","0,99 €/L"
Gel de banho bio kids,Corine de Farme,300 ml,"6,49 €","8,65 €/L"
Bailarina,Vicam,1 unidade,"14,99 €/Unidade","14,99 €/Unidade"
Néctar clássico laranja,Compal,Embalagem de 1 l,"0,99 €","0,99 €/L"
Leite Bem Essencial Chocolate,Mimosa,Embalagem de 4 x 200 ml,"0,26 €","1,30 €/L"
"Coloração permanente, castanho claro cobre nº54",Nutrisse,1 unidade,"9,49 €/Unidade","9,49 €/Unidade"
Guardanapos 2 folhas azul e dourado,PorSi Select,40 unidades,"1,29 €","1,29 €/Unidade"
Gelado magnum after dinner,Olá,Embalagem de 10 x 35 ml,"5,99 €","16,64 €/L"
"Forma de papel para bolos, 9 cm, 60 unidades",PorSi,Uma embalagem,"0,99 €","0,99 €/Unidade"
Mortadela de peru com azeitonas,PorSi,1 un = 150 gr (aprox.),"1,05 €","6,99 €/Kg"
Óleo de girassol,PorSi,garrafa de 3 litros,"3,39 €","3,39 €/L"
Fraldas Activity Extra T5 |13-19 kg,Dodot,48 Unidade,"6,49 €","6,49 €/Unidade"
Salsichas de porco,Nobre,Lata de 200g,"0,75 €","3,75 €/Kg"
Sabonete Líquido Original,Dove,Embalagem de 250 ml,"1,19 €","3,97 €/L"
Salsichas frasco hot dog,PorSi,Embalagem 540G,"0,75 €","3,75 €/Kg"
Carro de Limpeza,Vicam,1 unidade,"10,99 €/Unidade","10,99 €/Unidade"
Ambientador carro difusor aqua,Ambipur,1 unidade,"1,99 €","1,99 €/Unidade"
Estendal King Aço/Alumínio 20 m,Vileda,1 un.,"0,99 €","0,99 €/Unidade"
Vinho branco regional península de setúbal,Joao pires,Garrafa de 0.75 l,"8,59 €","11,45 €/L"
Spray Limpa Placa Indução,Induclean,450 ml,"4,49 €","5,99 €/L"
Vinho regional lisboa reserva tinto,Mundus,Garrafa de 750 ml,"4,99 €","6,65 €/L"
Bolo Rei c/ Castanhas,Pastelaria do Dia,1 un. = 600 g,"0,30 €/Unidade","0,30 €/Unidade"
Granola + classica,Cemporcent,Embalagem de 375g,"1,54 €","3,08 €/Kg"
Arroz Carolino,Saludães,Embalagem de 1 kg,"0,99 €","0,99 €/Kg"
Caramelos de fruta,PorSi,Embalagem de 250g,"1,10 €","4,40 €/Kg"
Protein milk 330 ml chocolate,Prozis,Garrafa de 330 ml,"14,99 €","37,48 €/Kg"
Linguas de gato,PorSi,Embalagem de 200 g,"0,69 €","3,45 €/Kg"
Bebida de cereais e café mokambo intenso,Nestle,Embalagem de 180g,"2,29 €","11,45 €/Kg"
"Máquina depiladora descartável, Blue II Feminina",Gillette,Embalagem de 5+1 unidades,"3,29 €","3,29 €/Unidade"
Rolo de Cozinha Multi,Renova,4 Rolos,"1,19 €","1,19 €/Unidade"
Pilha alcalina classic lr14x2,Domédia,1 unidade,"1,99 €","1,99 €/Unidade"
Compasso Origin 3 peças,Maped,Uma embalagem,"4,29 €","4,29 €/Unidade"
Gelado magnum mini double framboesa,Olá,Embalagem de 6 x 60 ml,"5,99 €","16,64 €/L"
Anti-Traça Alimentos,Dum Dum,2 unidades,"4,69 €","4,69 €/Unidade"
Biscoitos brownies,PorSi,Embalagem de 230g,"0,90 €","6,00 €/Kg"
Iogurte Líquido Frutos Tropicais,PorSi,1 Embalagem 4X160G,"1,17 €","1,83 €/Kg"
Sangria,Casal Garcia,Garrafa de 750 ml,"2,19 €","1,46 €/L"
Limpador,Pronto,Embalagem de 750 ml,"2,29 €","2,29 €/L"
"Azeitonas pretas sem caroço, frasco de 165 g",PorSi,Embalagem de 165g,"1,79 €","2,29 €/Kg"
Refresco em pó de ananás,PorSi,Embalagem de 40 g,"0,75 €","18,75 €/Kg"
Grelha Quadrada Nº4 Zincada,Jomafe,"32x23 cm, 1 unidade","0,75 €","0,75 €/Unidade"
Lixívia WC Gel Higienizante,Neoblanc,Embalagem de 700ml,"1,74 €","0,35 €/L"
Fita Adesiva Brico Facil Especial Dupla Face,Ceys,1 unidade,"3,19 €","3,19 €/Unidade"
Vinho tinto cotes du rhone,Expert Club,Garrafa de 75 cl,"6,89 €","9,19 €/L"
Bolachas crackers integrais,PorSi,Embalagem de 500g,"0,39 €","3,12 €/Kg"
Bolachas cacau com recheio baunilha,PorSi,Embalagem de 176 g,"0,79 €","4,49 €/Kg"
Champanhe tradicional bruto,Delagne&fi,Garrafa de 750 ml,"34,99 €","46,65 €/L"
Bacalhau à Brás,PorSi,Embalagem de 1 kg,"1,91 €","4,78 €/Kg"
Bola de Berlim chocolate,PorSi,85g,"0,30 €/Unidade","0,30 €/Unidade"
Grelo Nabo Programa Origens,PorSi,1 un= 1 kg (aprox.),"0,75 €","2,49 €/Kg"
Lixívia para roupa tradicional,Neoblanc,Embalagem de 2 l,"2,19 €","1,10 €/L"
Vinho maduto tinto,Casal da eira,Embalagem de 1 l,"0,69 €","2,76 €/L"
"Óleo Spray Cenoura, SPF0",Cabana Sun,Embalagem de 200 ml,"14,99 €","299,80 €/L"
Faca para Churrasco 11 cm Inox,PorSi,1 unidade,"7,39 €","7,39 €/Unidade"
Mestre panda,Chicco,1 unidade,"14,99 €/Unidade","14,99 €/Unidade"
Creme marisco,Knorr,Embalagem de 70g,"0,84 €","13,55 €/Kg"
Leite uht sem lactose magro,PorSi Viva Bem,1 litro,"0,78 €","0,78 €/L"
Serpentinas,Mercagranel,Embalagem 20 Rolos,"0,59 €","0,59 €/Unidade"
Pescada África do Sul,Peixe Congelado,De 600g a 900g,"1,40 €","6,98 €/Kg"
80 filtros nº4 com saquetas antitártaro,Planteur,Uma embalagem com 80 unidades,"0,89 €","0,89 €/Unidade"
Spray de lavagem a seco,Day 2,200 ml,"8,99 €","44,95 €/L"
Muesli tropical,Cemporcent,Embalagem de 500g,"0,69 €","1,73 €/Kg"
Sacos do lixo wc 5 litros,PorSi,30 sacos,"1,79 €","1,79 €/Unidade"
Difusor elétrico sem fio para pastilhas,Ezalo,Embalagem de 1 unidades,"6,39 €","6,39 €/Unidade"
Nestum aveia e maçã,Nestum,Embalagem de 250g,"2,99 €","3,99 €/Kg"
Óleo extra virgem de coco,Origensbio,Garrafa de 500 ml,"3,39 €","3,39 €/L"
Leite de crescimento 4 de 1 a 3 anos,NAN,Embalagem de 800g,"22,39 €","27,99 €/Kg"
